    read, MiB/s:                  7.58
    read, MiB/s:                  7.59
    read, MiB/s:                  7.51
    read, MiB/s:                  7.54
    read, MiB/s:                  7.40
    read, MiB/s:                  7.23
    read, MiB/s:                  7.27
    read, MiB/s:                  7.27
    read, MiB/s:                  7.27
    read, MiB/s:                  7.30
    read, MiB/s:                  7.08
    read, MiB/s:                  6.99
    read, MiB/s:                  6.82
    read, MiB/s:                  6.92
    read, MiB/s:                  7.16
    read, MiB/s:                  7.29
    read, MiB/s:                  7.43
    read, MiB/s:                  7.44
    read, MiB/s:                  7.15
    read, MiB/s:                  6.71
    read, MiB/s:                  6.78
    read, MiB/s:                  7.14
    read, MiB/s:                  7.04
    read, MiB/s:                  6.49
    read, MiB/s:                  6.49
    read, MiB/s:                  6.74
    read, MiB/s:                  6.65
    read, MiB/s:                  6.82
    read, MiB/s:                  7.02
    read, MiB/s:                  6.96
