    written, MiB/s:               5.05
    written, MiB/s:               5.06
    written, MiB/s:               5.01
    written, MiB/s:               5.03
    written, MiB/s:               4.94
    written, MiB/s:               4.82
    written, MiB/s:               4.85
    written, MiB/s:               4.85
    written, MiB/s:               4.85
    written, MiB/s:               4.87
    written, MiB/s:               4.72
    written, MiB/s:               4.66
    written, MiB/s:               4.55
    written, MiB/s:               4.61
    written, MiB/s:               4.78
    written, MiB/s:               4.86
    written, MiB/s:               4.95
    written, MiB/s:               4.96
    written, MiB/s:               4.77
    written, MiB/s:               4.47
    written, MiB/s:               4.52
    written, MiB/s:               4.76
    written, MiB/s:               4.70
    written, MiB/s:               4.33
    written, MiB/s:               4.33
    written, MiB/s:               4.49
    written, MiB/s:               4.43
    written, MiB/s:               4.55
    written, MiB/s:               4.68
    written, MiB/s:               4.64
