    read, MiB/s:                  65.69
    read, MiB/s:                  131.21
    read, MiB/s:                  174.77
    read, MiB/s:                  196.97
    read, MiB/s:                  229.94
    read, MiB/s:                  246.24
    read, MiB/s:                  261.92
    read, MiB/s:                  272.52
    read, MiB/s:                  291.18
    read, MiB/s:                  417.82
    read, MiB/s:                  243.48
    read, MiB/s:                  235.28
    read, MiB/s:                  275.55
    read, MiB/s:                  285.38
    read, MiB/s:                  289.45
    read, MiB/s:                  278.29
    read, MiB/s:                  284.48
    read, MiB/s:                  263.42
    read, MiB/s:                  82.39
    read, MiB/s:                  151.92
    read, MiB/s:                  148.23
    read, MiB/s:                  51.37
    read, MiB/s:                  89.98
    read, MiB/s:                  128.63
    read, MiB/s:                  167.25
    read, MiB/s:                  96.92
    read, MiB/s:                  143.60
    read, MiB/s:                  91.84
    read, MiB/s:                  95.90
    read, MiB/s:                  134.55
