    written, MiB/s:               27.60
    written, MiB/s:               28.84
    written, MiB/s:               28.38
    written, MiB/s:               28.63
    written, MiB/s:               28.52
    written, MiB/s:               28.07
    written, MiB/s:               28.74
    written, MiB/s:               28.41
    written, MiB/s:               28.78
    written, MiB/s:               28.57
    written, MiB/s:               28.16
    written, MiB/s:               28.41
    written, MiB/s:               28.32
    written, MiB/s:               28.50
    written, MiB/s:               27.89
    written, MiB/s:               29.02
    written, MiB/s:               28.44
    written, MiB/s:               27.98
    written, MiB/s:               29.00
    written, MiB/s:               28.85
    written, MiB/s:               28.46
    written, MiB/s:               28.55
    written, MiB/s:               28.54
    written, MiB/s:               28.44
    written, MiB/s:               28.27
    written, MiB/s:               28.46
    written, MiB/s:               28.23
    written, MiB/s:               28.55
    written, MiB/s:               29.15
    written, MiB/s:               28.31
