    read, MiB/s:                  9.52
    read, MiB/s:                  9.46
    read, MiB/s:                  9.55
    read, MiB/s:                  9.75
    read, MiB/s:                  9.65
    read, MiB/s:                  9.55
    read, MiB/s:                  9.70
    read, MiB/s:                  9.60
    read, MiB/s:                  9.38
    read, MiB/s:                  9.70
    read, MiB/s:                  9.59
    read, MiB/s:                  9.51
    read, MiB/s:                  9.69
    read, MiB/s:                  9.55
    read, MiB/s:                  9.70
    read, MiB/s:                  9.76
    read, MiB/s:                  9.76
    read, MiB/s:                  9.75
    read, MiB/s:                  9.81
    read, MiB/s:                  9.62
    read, MiB/s:                  9.66
    read, MiB/s:                  9.54
    read, MiB/s:                  9.59
    read, MiB/s:                  9.31
    read, MiB/s:                  8.69
    read, MiB/s:                  7.29
    read, MiB/s:                  7.02
    read, MiB/s:                  7.28
    read, MiB/s:                  7.48
    read, MiB/s:                  7.68
