    written, MiB/s:               6.34
    written, MiB/s:               6.31
    written, MiB/s:               6.36
    written, MiB/s:               6.50
    written, MiB/s:               6.43
    written, MiB/s:               6.37
    written, MiB/s:               6.47
    written, MiB/s:               6.40
    written, MiB/s:               6.26
    written, MiB/s:               6.47
    written, MiB/s:               6.39
    written, MiB/s:               6.34
    written, MiB/s:               6.46
    written, MiB/s:               6.36
    written, MiB/s:               6.47
    written, MiB/s:               6.50
    written, MiB/s:               6.50
    written, MiB/s:               6.50
    written, MiB/s:               6.54
    written, MiB/s:               6.42
    written, MiB/s:               6.44
    written, MiB/s:               6.36
    written, MiB/s:               6.39
    written, MiB/s:               6.21
    written, MiB/s:               5.79
    written, MiB/s:               4.86
    written, MiB/s:               4.68
    written, MiB/s:               4.85
    written, MiB/s:               4.99
    written, MiB/s:               5.12
