    read, MiB/s:                  199.22
    read, MiB/s:                  227.98
    read, MiB/s:                  258.59
    read, MiB/s:                  260.61
    read, MiB/s:                  260.37
    read, MiB/s:                  260.69
    read, MiB/s:                  260.50
    read, MiB/s:                  260.46
    read, MiB/s:                  260.45
    read, MiB/s:                  260.13
    read, MiB/s:                  258.25
    read, MiB/s:                  260.15
    read, MiB/s:                  258.55
    read, MiB/s:                  260.39
    read, MiB/s:                  155.64
    read, MiB/s:                  85.16
    read, MiB/s:                  60.02
    read, MiB/s:                  96.68
    read, MiB/s:                  70.04
    read, MiB/s:                  89.26
    read, MiB/s:                  76.58
    read, MiB/s:                  48.64
    read, MiB/s:                  85.26
    read, MiB/s:                  54.53
    read, MiB/s:                  72.82
    read, MiB/s:                  91.88
    read, MiB/s:                  61.57
    read, MiB/s:                  73.67
    read, MiB/s:                  81.32
    read, MiB/s:                  84.29
