    written, MiB/s:               49.48
    written, MiB/s:               49.85
    written, MiB/s:               44.69
    written, MiB/s:               28.00
    written, MiB/s:               27.94
    written, MiB/s:               27.95
    written, MiB/s:               27.94
    written, MiB/s:               27.95
    written, MiB/s:               27.94
    written, MiB/s:               27.94
    written, MiB/s:               27.94
    written, MiB/s:               27.94
    written, MiB/s:               27.95
    written, MiB/s:               27.94
    written, MiB/s:               27.93
    written, MiB/s:               27.93
    written, MiB/s:               27.97
    written, MiB/s:               27.90
    written, MiB/s:               27.97
    written, MiB/s:               27.95
    written, MiB/s:               27.93
    written, MiB/s:               27.96
    written, MiB/s:               27.95
    written, MiB/s:               27.94
    written, MiB/s:               27.94
    written, MiB/s:               27.94
    written, MiB/s:               27.96
    written, MiB/s:               27.94
    written, MiB/s:               27.85
    written, MiB/s:               27.94
