    read, MiB/s:                  45.37
    read, MiB/s:                  44.71
    read, MiB/s:                  42.41
    read, MiB/s:                  37.78
    read, MiB/s:                  37.84
    read, MiB/s:                  38.08
    read, MiB/s:                  37.87
    read, MiB/s:                  37.80
    read, MiB/s:                  37.84
    read, MiB/s:                  37.80
    read, MiB/s:                  37.97
    read, MiB/s:                  37.89
    read, MiB/s:                  37.79
    read, MiB/s:                  37.88
    read, MiB/s:                  37.86
    read, MiB/s:                  37.90
    read, MiB/s:                  37.76
    read, MiB/s:                  37.89
    read, MiB/s:                  37.82
    read, MiB/s:                  37.97
    read, MiB/s:                  37.95
    read, MiB/s:                  37.84
    read, MiB/s:                  37.92
    read, MiB/s:                  37.86
    read, MiB/s:                  37.82
    read, MiB/s:                  37.93
    read, MiB/s:                  37.76
    read, MiB/s:                  37.86
    read, MiB/s:                  37.77
    read, MiB/s:                  37.97
