    written, MiB/s:               203.06
    written, MiB/s:               212.64
    written, MiB/s:               212.70
    written, MiB/s:               213.39
    written, MiB/s:               219.91
    written, MiB/s:               202.16
    written, MiB/s:               210.11
    written, MiB/s:               206.53
    written, MiB/s:               208.02
    written, MiB/s:               213.74
    written, MiB/s:               215.10
    written, MiB/s:               218.82
    written, MiB/s:               216.24
    written, MiB/s:               217.11
    written, MiB/s:               207.59
    written, MiB/s:               211.73
    written, MiB/s:               210.44
    written, MiB/s:               211.00
    written, MiB/s:               214.59
    written, MiB/s:               210.82
    written, MiB/s:               200.75
    written, MiB/s:               212.01
    written, MiB/s:               196.48
    written, MiB/s:               201.98
    written, MiB/s:               205.82
    written, MiB/s:               200.62
    written, MiB/s:               202.64
    written, MiB/s:               200.90
    written, MiB/s:               201.64
    written, MiB/s:               201.18
