    written, MiB/s:               40.46
    written, MiB/s:               39.74
    written, MiB/s:               38.47
    written, MiB/s:               39.16
    written, MiB/s:               40.62
    written, MiB/s:               39.41
    written, MiB/s:               39.34
    written, MiB/s:               38.84
    written, MiB/s:               39.50
    written, MiB/s:               38.76
    written, MiB/s:               38.57
    written, MiB/s:               39.38
    written, MiB/s:               39.09
    written, MiB/s:               39.27
    written, MiB/s:               39.58
    written, MiB/s:               39.45
    written, MiB/s:               39.28
    written, MiB/s:               39.60
    written, MiB/s:               39.43
    written, MiB/s:               40.21
    written, MiB/s:               39.59
    written, MiB/s:               39.42
    written, MiB/s:               38.83
    written, MiB/s:               39.07
    written, MiB/s:               40.69
    written, MiB/s:               40.19
    written, MiB/s:               39.57
    written, MiB/s:               39.97
    written, MiB/s:               38.93
    written, MiB/s:               39.83
