    read, MiB/s:                  66.09
    read, MiB/s:                  123.69
    read, MiB/s:                  181.22
    read, MiB/s:                  170.76
    read, MiB/s:                  155.65
    read, MiB/s:                  162.98
    read, MiB/s:                  130.09
    read, MiB/s:                  57.60
    read, MiB/s:                  171.06
    read, MiB/s:                  57.60
    read, MiB/s:                  115.18
    read, MiB/s:                  172.78
    read, MiB/s:                  107.06
    read, MiB/s:                  164.66
    read, MiB/s:                  144.95
    read, MiB/s:                  82.20
    read, MiB/s:                  151.66
    read, MiB/s:                  75.88
    read, MiB/s:                  115.20
    read, MiB/s:                  172.79
    read, MiB/s:                  107.67
    read, MiB/s:                  113.09
    read, MiB/s:                  170.67
    read, MiB/s:                  78.84
    read, MiB/s:                  140.97
    read, MiB/s:                  183.08
    read, MiB/s:                  116.35
    read, MiB/s:                  177.89
    read, MiB/s:                  96.98
    read, MiB/s:                  88.80
