    read, MiB/s:                  40.25
    read, MiB/s:                  41.22
    read, MiB/s:                  34.06
    read, MiB/s:                  33.61
    read, MiB/s:                  33.51
    read, MiB/s:                  35.13
    read, MiB/s:                  35.75
    read, MiB/s:                  33.16
    read, MiB/s:                  35.70
    read, MiB/s:                  36.94
    read, MiB/s:                  36.41
    read, MiB/s:                  38.45
    read, MiB/s:                  36.08
    read, MiB/s:                  35.42
    read, MiB/s:                  38.62
    read, MiB/s:                  37.93
    read, MiB/s:                  40.65
    read, MiB/s:                  38.60
    read, MiB/s:                  36.30
    read, MiB/s:                  37.93
    read, MiB/s:                  39.44
    read, MiB/s:                  38.01
    read, MiB/s:                  39.30
    read, MiB/s:                  37.14
    read, MiB/s:                  40.65
    read, MiB/s:                  39.19
    read, MiB/s:                  37.86
    read, MiB/s:                  37.84
    read, MiB/s:                  36.87
    read, MiB/s:                  38.28
