    read, MiB/s:                  60.69
    read, MiB/s:                  59.61
    read, MiB/s:                  57.70
    read, MiB/s:                  58.73
    read, MiB/s:                  60.93
    read, MiB/s:                  59.12
    read, MiB/s:                  59.01
    read, MiB/s:                  58.25
    read, MiB/s:                  59.25
    read, MiB/s:                  58.14
    read, MiB/s:                  57.86
    read, MiB/s:                  59.08
    read, MiB/s:                  58.63
    read, MiB/s:                  58.90
    read, MiB/s:                  59.37
    read, MiB/s:                  59.18
    read, MiB/s:                  58.91
    read, MiB/s:                  59.40
    read, MiB/s:                  59.14
    read, MiB/s:                  60.31
    read, MiB/s:                  59.39
    read, MiB/s:                  59.12
    read, MiB/s:                  58.24
    read, MiB/s:                  58.60
    read, MiB/s:                  61.04
    read, MiB/s:                  60.29
    read, MiB/s:                  59.35
    read, MiB/s:                  59.96
    read, MiB/s:                  58.39
    read, MiB/s:                  59.75
