    written, MiB/s:               26.83
    written, MiB/s:               27.48
    written, MiB/s:               22.71
    written, MiB/s:               22.41
    written, MiB/s:               22.34
    written, MiB/s:               23.42
    written, MiB/s:               23.83
    written, MiB/s:               22.10
    written, MiB/s:               23.80
    written, MiB/s:               24.63
    written, MiB/s:               24.28
    written, MiB/s:               25.63
    written, MiB/s:               24.06
    written, MiB/s:               23.61
    written, MiB/s:               25.74
    written, MiB/s:               25.29
    written, MiB/s:               27.10
    written, MiB/s:               25.73
    written, MiB/s:               24.20
    written, MiB/s:               25.29
    written, MiB/s:               26.29
    written, MiB/s:               25.34
    written, MiB/s:               26.20
    written, MiB/s:               24.76
    written, MiB/s:               27.10
    written, MiB/s:               26.12
    written, MiB/s:               25.24
    written, MiB/s:               25.23
    written, MiB/s:               24.58
    written, MiB/s:               25.52
