    read, MiB/s:                  5.70
    read, MiB/s:                  5.73
    read, MiB/s:                  5.55
    read, MiB/s:                  5.70
    read, MiB/s:                  6.27
    read, MiB/s:                  6.94
    read, MiB/s:                  6.87
    read, MiB/s:                  6.69
    read, MiB/s:                  6.65
    read, MiB/s:                  6.63
    read, MiB/s:                  6.68
    read, MiB/s:                  5.65
    read, MiB/s:                  5.59
    read, MiB/s:                  5.55
    read, MiB/s:                  5.41
    read, MiB/s:                  5.40
    read, MiB/s:                  5.39
    read, MiB/s:                  5.87
    read, MiB/s:                  5.19
    read, MiB/s:                  5.55
    read, MiB/s:                  5.63
    read, MiB/s:                  5.48
    read, MiB/s:                  5.52
    read, MiB/s:                  5.72
    read, MiB/s:                  6.26
    read, MiB/s:                  5.08
    read, MiB/s:                  5.14
    read, MiB/s:                  5.18
    read, MiB/s:                  5.32
    read, MiB/s:                  5.33
