    written, MiB/s:               3.80
    written, MiB/s:               3.82
    written, MiB/s:               3.70
    written, MiB/s:               3.80
    written, MiB/s:               4.18
    written, MiB/s:               4.62
    written, MiB/s:               4.58
    written, MiB/s:               4.46
    written, MiB/s:               4.43
    written, MiB/s:               4.42
    written, MiB/s:               4.45
    written, MiB/s:               3.77
    written, MiB/s:               3.72
    written, MiB/s:               3.70
    written, MiB/s:               3.61
    written, MiB/s:               3.60
    written, MiB/s:               3.59
    written, MiB/s:               3.91
    written, MiB/s:               3.46
    written, MiB/s:               3.70
    written, MiB/s:               3.76
    written, MiB/s:               3.66
    written, MiB/s:               3.68
    written, MiB/s:               3.81
    written, MiB/s:               4.17
    written, MiB/s:               3.39
    written, MiB/s:               3.43
    written, MiB/s:               3.45
    written, MiB/s:               3.55
    written, MiB/s:               3.55
