    read, MiB/s:                  9.49
    read, MiB/s:                  9.54
    read, MiB/s:                  9.38
    read, MiB/s:                  9.12
    read, MiB/s:                  9.20
    read, MiB/s:                  8.88
    read, MiB/s:                  9.40
    read, MiB/s:                  9.16
    read, MiB/s:                  9.34
    read, MiB/s:                  9.04
    read, MiB/s:                  8.25
    read, MiB/s:                  9.24
    read, MiB/s:                  8.46
    read, MiB/s:                  7.75
    read, MiB/s:                  8.60
    read, MiB/s:                  9.07
    read, MiB/s:                  9.10
    read, MiB/s:                  8.91
    read, MiB/s:                  9.34
    read, MiB/s:                  9.00
    read, MiB/s:                  9.23
    read, MiB/s:                  9.27
    read, MiB/s:                  8.91
    read, MiB/s:                  9.03
    read, MiB/s:                  8.44
    read, MiB/s:                  8.62
    read, MiB/s:                  8.94
    read, MiB/s:                  8.76
    read, MiB/s:                  6.59
    read, MiB/s:                  7.49
