    written, MiB/s:               6.33
    written, MiB/s:               6.36
    written, MiB/s:               6.25
    written, MiB/s:               6.08
    written, MiB/s:               6.14
    written, MiB/s:               5.92
    written, MiB/s:               6.27
    written, MiB/s:               6.11
    written, MiB/s:               6.23
    written, MiB/s:               6.03
    written, MiB/s:               5.50
    written, MiB/s:               6.16
    written, MiB/s:               5.64
    written, MiB/s:               5.17
    written, MiB/s:               5.73
    written, MiB/s:               6.05
    written, MiB/s:               6.07
    written, MiB/s:               5.94
    written, MiB/s:               6.22
    written, MiB/s:               6.00
    written, MiB/s:               6.15
    written, MiB/s:               6.18
    written, MiB/s:               5.94
    written, MiB/s:               6.02
    written, MiB/s:               5.62
    written, MiB/s:               5.74
    written, MiB/s:               5.96
    written, MiB/s:               5.84
    written, MiB/s:               4.39
    written, MiB/s:               4.99
