    read, MiB/s:                  50.10
    read, MiB/s:                  48.51
    read, MiB/s:                  49.69
    read, MiB/s:                  46.04
    read, MiB/s:                  41.54
    read, MiB/s:                  46.24
    read, MiB/s:                  48.37
    read, MiB/s:                  48.95
    read, MiB/s:                  48.45
    read, MiB/s:                  47.58
    read, MiB/s:                  49.27
    read, MiB/s:                  48.26
    read, MiB/s:                  45.83
    read, MiB/s:                  45.82
    read, MiB/s:                  45.51
    read, MiB/s:                  46.13
    read, MiB/s:                  47.44
    read, MiB/s:                  46.50
    read, MiB/s:                  47.44
    read, MiB/s:                  46.01
    read, MiB/s:                  46.78
    read, MiB/s:                  47.67
    read, MiB/s:                  45.71
    read, MiB/s:                  47.12
    read, MiB/s:                  47.88
    read, MiB/s:                  47.97
    read, MiB/s:                  47.66
    read, MiB/s:                  47.38
    read, MiB/s:                  47.81
    read, MiB/s:                  47.49
