    written, MiB/s:               33.40
    written, MiB/s:               32.34
    written, MiB/s:               33.13
    written, MiB/s:               30.69
    written, MiB/s:               27.69
    written, MiB/s:               30.83
    written, MiB/s:               32.25
    written, MiB/s:               32.63
    written, MiB/s:               32.30
    written, MiB/s:               31.72
    written, MiB/s:               32.85
    written, MiB/s:               32.17
    written, MiB/s:               30.55
    written, MiB/s:               30.55
    written, MiB/s:               30.34
    written, MiB/s:               30.75
    written, MiB/s:               31.62
    written, MiB/s:               31.00
    written, MiB/s:               31.62
    written, MiB/s:               30.68
    written, MiB/s:               31.19
    written, MiB/s:               31.78
    written, MiB/s:               30.47
    written, MiB/s:               31.42
    written, MiB/s:               31.92
    written, MiB/s:               31.98
    written, MiB/s:               31.78
    written, MiB/s:               31.59
    written, MiB/s:               31.87
    written, MiB/s:               31.66
