    read, MiB/s:                  38.84
    read, MiB/s:                  38.44
    read, MiB/s:                  38.89
    read, MiB/s:                  39.00
    read, MiB/s:                  38.76
    read, MiB/s:                  39.25
    read, MiB/s:                  38.91
    read, MiB/s:                  39.10
    read, MiB/s:                  39.15
    read, MiB/s:                  38.73
    read, MiB/s:                  39.39
    read, MiB/s:                  38.87
    read, MiB/s:                  39.22
    read, MiB/s:                  38.05
    read, MiB/s:                  39.34
    read, MiB/s:                  21.52
    read, MiB/s:                  2.30
    read, MiB/s:                  2.29
    read, MiB/s:                  2.28
    read, MiB/s:                  2.30
    read, MiB/s:                  2.30
    read, MiB/s:                  2.30
    read, MiB/s:                  2.24
    read, MiB/s:                  2.28
    read, MiB/s:                  2.29
    read, MiB/s:                  2.30
    read, MiB/s:                  2.30
    read, MiB/s:                  2.29
    read, MiB/s:                  2.29
    read, MiB/s:                  2.31
