    written, MiB/s:               25.90
    written, MiB/s:               25.62
    written, MiB/s:               25.93
    written, MiB/s:               26.00
    written, MiB/s:               25.84
    written, MiB/s:               26.17
    written, MiB/s:               25.94
    written, MiB/s:               26.07
    written, MiB/s:               26.10
    written, MiB/s:               25.82
    written, MiB/s:               26.26
    written, MiB/s:               25.91
    written, MiB/s:               26.15
    written, MiB/s:               25.37
    written, MiB/s:               26.23
    written, MiB/s:               14.35
    written, MiB/s:               1.54
    written, MiB/s:               1.53
    written, MiB/s:               1.52
    written, MiB/s:               1.54
    written, MiB/s:               1.53
    written, MiB/s:               1.53
    written, MiB/s:               1.49
    written, MiB/s:               1.52
    written, MiB/s:               1.52
    written, MiB/s:               1.53
    written, MiB/s:               1.53
    written, MiB/s:               1.53
    written, MiB/s:               1.53
    written, MiB/s:               1.54
