    read, MiB/s:                  29.59
    read, MiB/s:                  30.05
    read, MiB/s:                  30.11
    read, MiB/s:                  28.24
    read, MiB/s:                  29.94
    read, MiB/s:                  29.26
    read, MiB/s:                  27.54
    read, MiB/s:                  30.79
    read, MiB/s:                  28.62
    read, MiB/s:                  28.16
    read, MiB/s:                  28.82
    read, MiB/s:                  26.94
    read, MiB/s:                  29.92
    read, MiB/s:                  27.91
    read, MiB/s:                  25.71
    read, MiB/s:                  28.53
    read, MiB/s:                  27.93
    read, MiB/s:                  29.14
    read, MiB/s:                  27.75
    read, MiB/s:                  28.02
    read, MiB/s:                  29.05
    read, MiB/s:                  28.42
    read, MiB/s:                  29.83
    read, MiB/s:                  26.07
    read, MiB/s:                  4.63
    read, MiB/s:                  4.62
    read, MiB/s:                  4.65
    read, MiB/s:                  4.62
    read, MiB/s:                  4.62
    read, MiB/s:                  4.63
