    written, MiB/s:               19.72
    written, MiB/s:               20.03
    written, MiB/s:               20.07
    written, MiB/s:               18.83
    written, MiB/s:               19.96
    written, MiB/s:               19.51
    written, MiB/s:               18.36
    written, MiB/s:               20.53
    written, MiB/s:               19.08
    written, MiB/s:               18.77
    written, MiB/s:               19.21
    written, MiB/s:               17.96
    written, MiB/s:               19.95
    written, MiB/s:               18.61
    written, MiB/s:               17.14
    written, MiB/s:               19.02
    written, MiB/s:               18.62
    written, MiB/s:               19.43
    written, MiB/s:               18.50
    written, MiB/s:               18.68
    written, MiB/s:               19.36
    written, MiB/s:               18.95
    written, MiB/s:               19.89
    written, MiB/s:               17.38
    written, MiB/s:               3.09
    written, MiB/s:               3.08
    written, MiB/s:               3.10
    written, MiB/s:               3.08
    written, MiB/s:               3.08
    written, MiB/s:               3.08
