    read, MiB/s:                  38.26
    read, MiB/s:                  37.36
    read, MiB/s:                  36.16
    read, MiB/s:                  37.53
    read, MiB/s:                  37.32
    read, MiB/s:                  37.41
    read, MiB/s:                  38.00
    read, MiB/s:                  36.98
    read, MiB/s:                  37.32
    read, MiB/s:                  38.78
    read, MiB/s:                  39.05
    read, MiB/s:                  37.52
    read, MiB/s:                  37.45
    read, MiB/s:                  39.15
    read, MiB/s:                  38.43
    read, MiB/s:                  38.73
    read, MiB/s:                  3.74
    read, MiB/s:                  2.30
    read, MiB/s:                  2.30
    read, MiB/s:                  2.30
    read, MiB/s:                  2.30
    read, MiB/s:                  2.30
    read, MiB/s:                  2.29
    read, MiB/s:                  2.30
    read, MiB/s:                  2.30
    read, MiB/s:                  2.30
    read, MiB/s:                  2.29
    read, MiB/s:                  2.29
    read, MiB/s:                  2.30
    read, MiB/s:                  2.30
