    written, MiB/s:               25.51
    written, MiB/s:               24.91
    written, MiB/s:               24.11
    written, MiB/s:               25.02
    written, MiB/s:               24.88
    written, MiB/s:               24.94
    written, MiB/s:               25.33
    written, MiB/s:               24.65
    written, MiB/s:               24.88
    written, MiB/s:               25.85
    written, MiB/s:               26.04
    written, MiB/s:               25.02
    written, MiB/s:               24.96
    written, MiB/s:               26.10
    written, MiB/s:               25.62
    written, MiB/s:               25.82
    written, MiB/s:               2.49
    written, MiB/s:               1.54
    written, MiB/s:               1.54
    written, MiB/s:               1.54
    written, MiB/s:               1.54
    written, MiB/s:               1.54
    written, MiB/s:               1.53
    written, MiB/s:               1.54
    written, MiB/s:               1.53
    written, MiB/s:               1.54
    written, MiB/s:               1.53
    written, MiB/s:               1.53
    written, MiB/s:               1.53
    written, MiB/s:               1.53
