    read, MiB/s:                  44.87
    read, MiB/s:                  89.75
    read, MiB/s:                  89.76
    read, MiB/s:                  71.32
    read, MiB/s:                  82.40
    read, MiB/s:                  94.83
    read, MiB/s:                  86.64
    read, MiB/s:                  82.99
    read, MiB/s:                  89.37
    read, MiB/s:                  65.13
    read, MiB/s:                  83.15
    read, MiB/s:                  89.48
    read, MiB/s:                  73.47
    read, MiB/s:                  88.26
    read, MiB/s:                  44.89
    read, MiB/s:                  82.41
    read, MiB/s:                  71.90
    read, MiB/s:                  100.86
    read, MiB/s:                  85.41
    read, MiB/s:                  80.87
    read, MiB/s:                  86.05
    read, MiB/s:                  73.78
    read, MiB/s:                  78.56
    read, MiB/s:                  82.25
    read, MiB/s:                  54.83
    read, MiB/s:                  82.58
    read, MiB/s:                  60.09
    read, MiB/s:                  94.48
    read, MiB/s:                  80.16
    read, MiB/s:                  64.39
