    written, MiB/s:               37.80
    written, MiB/s:               37.57
    written, MiB/s:               37.57
    written, MiB/s:               37.46
    written, MiB/s:               37.51
    written, MiB/s:               37.65
    written, MiB/s:               37.65
    written, MiB/s:               37.67
    written, MiB/s:               37.62
    written, MiB/s:               37.58
    written, MiB/s:               37.57
    written, MiB/s:               37.66
    written, MiB/s:               37.66
    written, MiB/s:               37.58
    written, MiB/s:               37.62
    written, MiB/s:               37.64
    written, MiB/s:               37.66
    written, MiB/s:               37.65
    written, MiB/s:               37.67
    written, MiB/s:               37.67
    written, MiB/s:               37.67
    written, MiB/s:               37.68
    written, MiB/s:               37.66
    written, MiB/s:               37.61
    written, MiB/s:               37.67
    written, MiB/s:               37.67
    written, MiB/s:               37.65
    written, MiB/s:               37.63
    written, MiB/s:               37.67
    written, MiB/s:               37.66
