    read, MiB/s:                  19.92
    read, MiB/s:                  19.66
    read, MiB/s:                  17.94
    read, MiB/s:                  20.85
    read, MiB/s:                  22.44
    read, MiB/s:                  20.88
    read, MiB/s:                  19.54
    read, MiB/s:                  20.55
    read, MiB/s:                  22.82
    read, MiB/s:                  21.40
    read, MiB/s:                  23.27
    read, MiB/s:                  22.92
    read, MiB/s:                  22.38
    read, MiB/s:                  21.89
    read, MiB/s:                  22.48
    read, MiB/s:                  22.22
    read, MiB/s:                  23.45
    read, MiB/s:                  23.92
    read, MiB/s:                  24.34
    read, MiB/s:                  23.13
    read, MiB/s:                  24.90
    read, MiB/s:                  25.25
    read, MiB/s:                  25.29
    read, MiB/s:                  23.03
    read, MiB/s:                  21.91
    read, MiB/s:                  22.40
    read, MiB/s:                  19.44
    read, MiB/s:                  24.44
    read, MiB/s:                  21.59
    read, MiB/s:                  22.64
