    written, MiB/s:               13.28
    written, MiB/s:               13.10
    written, MiB/s:               11.96
    written, MiB/s:               13.90
    written, MiB/s:               14.96
    written, MiB/s:               13.92
    written, MiB/s:               13.03
    written, MiB/s:               13.70
    written, MiB/s:               15.21
    written, MiB/s:               14.27
    written, MiB/s:               15.51
    written, MiB/s:               15.28
    written, MiB/s:               14.92
    written, MiB/s:               14.59
    written, MiB/s:               14.99
    written, MiB/s:               14.81
    written, MiB/s:               15.63
    written, MiB/s:               15.94
    written, MiB/s:               16.22
    written, MiB/s:               15.42
    written, MiB/s:               16.60
    written, MiB/s:               16.83
    written, MiB/s:               16.86
    written, MiB/s:               15.36
    written, MiB/s:               14.61
    written, MiB/s:               14.93
    written, MiB/s:               12.96
    written, MiB/s:               16.29
    written, MiB/s:               14.39
    written, MiB/s:               15.10
