    read, MiB/s:                  116.74
    read, MiB/s:                  224.64
    read, MiB/s:                  232.80
    read, MiB/s:                  210.18
    read, MiB/s:                  200.00
    read, MiB/s:                  209.46
    read, MiB/s:                  213.10
    read, MiB/s:                  185.01
    read, MiB/s:                  197.44
    read, MiB/s:                  190.04
    read, MiB/s:                  173.34
    read, MiB/s:                  168.99
    read, MiB/s:                  163.65
    read, MiB/s:                  142.72
    read, MiB/s:                  166.69
    read, MiB/s:                  120.44
    read, MiB/s:                  187.62
    read, MiB/s:                  175.96
    read, MiB/s:                  107.08
    read, MiB/s:                  168.69
    read, MiB/s:                  197.82
    read, MiB/s:                  186.56
    read, MiB/s:                  174.20
    read, MiB/s:                  156.86
    read, MiB/s:                  191.16
    read, MiB/s:                  186.19
    read, MiB/s:                  161.10
    read, MiB/s:                  190.88
    read, MiB/s:                  113.36
    read, MiB/s:                  186.35
