    written, MiB/s:               121.59
    written, MiB/s:               118.23
    written, MiB/s:               119.08
    written, MiB/s:               113.88
    written, MiB/s:               120.90
    written, MiB/s:               116.67
    written, MiB/s:               76.08
    written, MiB/s:               75.72
    written, MiB/s:               75.71
    written, MiB/s:               75.59
    written, MiB/s:               75.67
    written, MiB/s:               75.65
    written, MiB/s:               75.72
    written, MiB/s:               75.72
    written, MiB/s:               75.73
    written, MiB/s:               75.66
    written, MiB/s:               75.67
    written, MiB/s:               75.70
    written, MiB/s:               75.67
    written, MiB/s:               75.66
    written, MiB/s:               75.72
    written, MiB/s:               75.74
    written, MiB/s:               75.72
    written, MiB/s:               75.62
    written, MiB/s:               75.63
    written, MiB/s:               75.71
    written, MiB/s:               75.72
    written, MiB/s:               75.61
    written, MiB/s:               75.71
    written, MiB/s:               75.72
